Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Austria,AUT,"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,392407,392339,386484,379920,372963,362822,355293,347249,337448,331565,328015,326351,326955,327187,327246.8438
Austria,AUT,"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,748659,749135,755581,764426,770391,781292,782981,777792,770792,762981,743709,723523,709910,706501.625,697388.4375
Austria,AUT,Labor force with primary education (% of total),SL.TLF.PRIM.ZS,21,19.89999962,19.60000038,19.20000076,17.89999962,17.89999962,17.5,18.29999924,17.10000038,16.39999962,15.80000019,15.89999962,15.19999981,14.69999981,14.69999981
Austria,AUT,"Labor force with primary education, female (% of female labor force)",SL.TLF.PRIM.FE.ZS,24.79999924,23.39999962,22.89999962,23,20.20000076,19.89999962,20.10000038,21.29999924,19.5,18.60000038,17.60000038,17.39999962,16.79999924,16.10000038,16.5
Austria,AUT,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,18,17.10000038,16.79999924,16.10000038,16.10000038,16.20000076,15.30000019,15.80000019,15,14.5,14.19999981,14.60000038,13.69999981,13.39999962,13
Austria,AUT,Labor force with secondary education (% of total),SL.TLF.SECO.ZS,63.79999924,64.5,62.79999924,63.59999847,63,63.90000153,64.69999695,64.09999847,65.09999847,64.69999695,65.19999695,64.90000153,64.90000153,64.5,53.79999924
Austria,AUT,"Labor force with secondary education, female (% of female labor force)",SL.TLF.SECO.FE.ZS,61.70000076,62.59999847,59.40000153,59.90000153,63.5,63.40000153,63.90000153,63.20000076,64.5,63.90000153,64.80000305,64.80000305,64.40000153,63.90000153,51.70000076
Austria,AUT,"Labor force with secondary education, male (% of male labor force)",SL.TLF.SECO.MA.ZS,65.5,66,65.59999847,66.69999695,62.59999847,64.30000305,65.40000153,65,65.59999847,65.40000153,65.5,65,65.40000153,65.09999847,55.59999847
Austria,AUT,Labor force with tertiary education (% of total),SL.TLF.TERT.ZS,15.19999981,15.5,17.60000038,17.20000076,19.10000038,18.20000076,17.79999924,17.5,17.79999924,18.89999962,19.10000038,19.20000076,19.89999962,20.79999924,31.60000038
Austria,AUT,"Labor force with tertiary education, female (% of female labor force)",SL.TLF.TERT.FE.ZS,13.5,14,17.70000076,17.10000038,16.39999962,16.70000076,16,15.5,16,17.39999962,17.60000038,17.79999924,18.79999924,20,31.79999924
Austria,AUT,"Labor force with tertiary education, male (% of male labor force)",SL.TLF.TERT.MA.ZS,16.5,16.79999924,17.60000038,17.20000076,21.29999924,19.39999962,19.29999924,19.20000076,19.29999924,20.10000038,20.29999924,20.5,20.89999962,21.5,31.29999924
Austria,AUT,"Primary education, pupils (% female)",SE.PRM.ENRL.FE.ZS,48.44664001,48.46063995,48.45943832,48.55101013,48.73995972,48.67317963,48.51601028,48.43555832,48.3375206,48.47404861,48.42034912,48.50022888,48.56539917,48.5202713,48.62456131
Austria,AUT,"Primary education, teachers (% female)",SE.PRM.TCHR.FE.ZS,..,..,90.53520966,90.10825348,90.90045166,89.80812836,89.2473526,89.33183289,89.19254303,89.64324188,89.98755646,90.39289856,90.86875916,91.10996246,91.4370575
Austria,AUT,Pupil-teacher ratio in pre-primary education (headcount basis),SE.PRE.ENRL.TC.ZS,..,..,15.80130005,15.12514973,14.82777977,14.20748997,13.63871002,13.53304958,13.39389038,12.77952003,12.41306019,12.0152998,11.91714954,11.67848969,11.73775005
Austria,AUT,Pupil-teacher ratio in primary education (headcount basis),SE.PRM.ENRL.TC.ZS,..,..,13.26801014,13.18159962,13.13389015,12.40884018,12.23291969,11.86203003,11.62932014,11.36314011,11.02830982,10.89398003,10.82489014,10.70429993,10.71765995
Austria,AUT,Pupil-teacher ratio in secondary education (headcount basis),SE.SEC.ENRL.TC.ZS,..,..,10.43735027,10.52507973,10.70672035,10.98322964,10.94344044,10.84634972,10.57966042,10.28248978,9.972499847,9.678720474,9.538470268,9.673330307,9.610710144
Austria,AUT,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.989570022,0.989639997,0.990149975,0.994050026,1.001530051,0.998529971,0.991760015,0.987370014,0.982879996,0.988170028,0.986469984,0.990490019,0.989359975,0.985570014,0.989520013
Austria,AUT,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.969510019,0.969399989,0.964160025,0.963180006,0.962909997,0.966199994,0.969780028,0.96845001,0.96499002,0.964460015,0.968069971,0.970009983,0.969330013,0.968389988,0.965380013
Austria,AUT,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,103.2589569,102.5423889,100.8730698,100.2963409,100.950737,100.9062271,101.2582779,101.0939331,99.88304138,99.62004852,99.14170074,99.38028717,100.2177505,100.8064423,101.6983566
Austria,AUT,"School enrollment, primary, female (% net)",SE.PRM.NENR.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,104.3477631,103.6161575,101.8769913,100.8971405,100.7966537,101.0549088,102.0998306,102.3867416,101.6228485,100.8131485,100.5019531,100.3343124,101.2956467,102.2820435,102.7756424
Austria,AUT,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
