country_name,country_code,series_name,series_code,variable_name,education_level,gender,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014
Austria,AUT,"Employment, total",SL.EM.TOTL.NE.ZS.V,Employment,All,All,3682502,3740155,3779125,3822347,3760932,3843441,3934765,4032618,4100299,4085942,4107509,4151528,4177055,4195104,4216245
Austria,AUT,"Employment, female",SL.EM.TOTL.FE.NE.ZS.V,Employment,All,Female,1597177,1631554,1671818,1705560,1686592,1728744,1777025,1817257,1866414,1886232,1896333,1909920,1931067,1930107,1943793
Austria,AUT,"Employment, male",SL.EM.TOTL.MA.NE.ZS.V,Employment,All,Male,2084809,2109094,2105901,2118999,2072548,2113654,2157014,2216970,2232675,2199031,2210498,2243957,2248017,2262605,2271738
Austria,AUT,Employment with primary education,SL.EM.PRIM.ZS.V,Employment,Primary,All,2356801,2449802,2558468,2484525,2440845,2494393,2561532,2576843,2624192,2688550,2821859,2789827,2861283,2944963,2964020
Austria,AUT,"Employment with primary education, female",SL.EM.PRIM.FE.ZS.V,Employment,Primary,Female,971084,1009932,1069964,1035275,1025448,1115040,1151512,1130334,1145978,1207189,1295195,1281557,1316988,1351075,1348992
Austria,AUT,"Employment with primary education, male",SL.EM.PRIM.MA.ZS.V,Employment,Primary,Male,1384313,1444730,1482554,1438801,1415550,1380216,1408530,1452116,1484729,1477749,1525244,1507939,1544387,1592874,1612934
Austria,AUT,Employment with secondary education,SL.EM.SECO.ZS.V,Employment,Secondary,All,1594523,1563385,1462521,1670366,1722507,1721862,1758840,1850972,1808232,1777385,1696401,1818369,1720947,1812285,2188231
Austria,AUT,"Employment with secondary education, female",SL.EM.SECO.FE.ZS.V,Employment,Secondary,Female,742687,750515,722225,828902,814624,776206,808546,866832,866016,890302,805941,863284,828428,882059,1072974
Austria,AUT,"Employment with secondary education, male",SL.EM.SECO.MA.ZS.V,Employment,Secondary,Male,852687,807783,743383,853957,905703,946917,946929,979901,933258,890608,893041,955926,896959,927668,1117695
Austria,AUT,Employment with tertiary education,SL.EM.TERT.ZS.V,Employment,Tertiary,All,3413679,3467124,3537261,3497447,3358512,3470627,3549158,3637421,3768175,3710036,3696758,3699011,3771881,3632960,3284455
Austria,AUT,"Employment with tertiary education, female",SL.EM.TERT.FE.ZS.V,Employment,Tertiary,Female,1932618,1940367,1952170,1921932,1883946,1914971,1934842,1997490,2058526,1952740,1971764,1967950,2000735,1905113,1710619
Austria,AUT,"Employment with tertiary education, male",SL.EM.TERT.MA.ZS.V,Employment,Tertiary,Male,1482181,1520609,1574853,1569115,1482514,1555870,1613539,1640983,1711502,1740993,1718077,1722748,1764995,1710075,1551146
